NO,NOMOR INDUK BUKU,NOMOR INVENTARIS,JUDUL,NOMOR PANGGIL SETEMPAT,PENERBIT,TANGGAL MASUK,TANGGAL INVENTARIS
9271,5731/PAMNS/2024,5731.01,The Principle of Indonesian Agrarian Law,340 Hut T,Badan Penerbit FHUI,26 Oktober 2022,25 Oktober 2024
9569,5732/PAMNS/2024,5732.01,Update Paling Lengkap Undang-Undang Ormas,346.06 Gra U-1,Grasindo,26 Oktober 2022,25 Oktober 2024
7227,5733/PAMNS/2024,5733.01,"Polri, Disrupsi, dan IKN Nusantara: Menelisik Penerapan Smart Policing dan Predictive Policing",363.2092 Jua P-1,Rayyana Komunikasindo,26 Oktober 2022,25 Oktober 2024
4629,5734/PAMNS/2024,5734.02,Kumpulan Resep Hits di Instagram,641.5 Dwi K,PT Gramedia Pustaka Utama,26 Oktober 2022,26 Oktober 2024
6267,5735/PAMNS/2024,5735.01,Panduan Membuat Pupuk Kompos Cair (Untung Mengalir dari Pupuk Kompos Cair),631.8 Nug P,Pustaka Baru Press,26 Oktober 2022,26 Oktober 2024
9570,5736/PAMNS/2024,5736.02,Update Paling Lengkap Undang-Undang Ormas,346.06 Gra U-1,Grasindo,26 Oktober 2022,29 Oktober 2024
8967,5737/PAMNS/2024,5737.03,Teknopreneur Aglaonema: Mengubah Hobi Jadi Rezeki,635 Sug T,Grasindo,26 Oktober 2022,29 Oktober 2024
3229,5738/PAMNS/2024,5738.04,Instagram Marketing untuk Pemula,658.84 Hel I,PT Elex Media Komputindo,26 Oktober 2022,29 Oktober 2024
8100,5739/PAMNS/2024,5739.02,Semua Bisa Investasi,658.152/ATH/S,Elex Media Komputindo,26 Oktober 2022,25 Oktober 2024
1621,5740/PAMNS/2024,5740.03,Computer Organization and Architecture,004.22 Nul E-3,Jones and Bartlett Publisher,26 Oktober 2022,25 Oktober 2024
1622,5741/PAMNS/2024,5741.02,Computer Organization and Architecture,004.22 Nul E-3,Jones and Bartlett Publisher,26 Oktober 2022,25 Oktober 2024
1623,5742/PAMNS/2024,5742.01,Computer Organization and Architecture,004.22 Nul E-3,Jones and Bartlett Publisher,26 Oktober 2022,25 Oktober 2024
7228,5743/PAMNS/2024,5743.02,"Polri, Disrupsi, dan IKN Nusantara: Menelisik Penerapan Smart Policing dan Predictive Policing",363.2092 Jua P-1,Rayyana Komunikasindo,26 Oktober 2022,25 Oktober 2024
8101,5744/PAMNS/2024,5744.03,Semua Bisa Investasi,658.152/ATH/S,Elex Media Komputindo,26 Oktober 2022,25 Oktober 2024
5028,5745/PAMNS/2024,5745.01,Maths Quest 12 : Mathematical Methods VCE Mathematics Units 3 and 4,511.4 Nol M,"John Wiley & Sons Australia, Ltd",26 Oktober 2022,22 Oktober 2024
5029,5746/PAMNS/2024,5746.02,Maths Quest 12 : Mathematical Methods VCE Mathematics Units 3 and 4,511.4 Nol M,"John Wiley & Sons Australia, Ltd",26 Oktober 2022,25 Oktober 2024
802,5747/PAMNS/2024,5747.01,Australian Business Statistics,519.5 Sel A,Thomson Learning Australia,16 Oktober 2024,25 Oktober 2024
803,5748/PAMNS/2024,5748.02,Australian Business Statistics,519.5 Sel A,Thomson Learning Australia,16 Oktober 2024,25 Oktober 2024
3467,5749/PAMNS/2024,5749.01,Java Foundations,005.262 Lew J,"Pearson Education, Inc.",16 Oktober 2024,25 Oktober 2024
3468,5750/PAMNS/2024,5750.02,Java Foundations,005.262 Lew J,"Pearson Education, Inc.",16 Oktober 2024,25 Oktober 2024
3469,5751/PAMNS/2024,5751.03,Java Foundations,005.262 Lew J,"Pearson Education, Inc.",16 Oktober 2024,25 Oktober 2024
7041,5752/PAMNS/2024,5752.01,Perencanaan Keuangan Syariah,332 Tam P,TAZKIA PRESS,26 Oktober 2022,26 Oktober 2024
7042,5753/PAMNS/2024,5753.02,Perencanaan Keuangan Syariah,332 Tam P,TAZKIA PRESS,26 Oktober 2022,26 Oktober 2024
7043,5754/PAMNS/2024,5754.03,Perencanaan Keuangan Syariah,332 Tam P,TAZKIA PRESS,26 Oktober 2022,26 Oktober 2024
