NO,NOMOR INDUK BUKU,NOMOR INVENTARIS,JUDUL,NOMOR PANGGIL SETEMPAT,PENERBIT,TANGGAL MASUK,TANGGAL INVENTARIS
963,9139/PAMNS/2025,9139.02,Belajar Sendiri Mengolah Data dengan Python & Pandas,005.262 Ent B,PT Elex Media Komputindo,26 Oktober 2022,13 Desember 2025
396,9140/PAMNS/2025,9140.01,AKTIVITAS-AKTIVITAS SENI KREATIF,750 May A,PT. INDEKS,22-Sep-22,13 Desember 2025
2993,9141/PAMNS/2025,9141.01,HUKUM PERDATA: HUKUM BENDA,346 Sof H,LIBERTY YOGYAKARTA,26 Oktober 2022,13 Desember 2025
2999,9142/PAMNS/2025,9142.02,"hukum pidana DELIK-DELIK PERCOBAAN, DELIK-DELIK PENYERTAAN",345.01 Moe H,BINA AKSARA,26 Oktober 2022,13 Desember 2025
8912,9143/PAMNS/2025,9143.01,Tari Lego-Lego,793.31 Sat T ,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,13 Desember 2025
4903,9144/PAMNS/2025,9144.01,MANAJEMEN PERSONALIA,658.3 Ran M,Fakultas Ekonomi UGM,26 Oktober 2022,15 Desember 2025
7533,9145/PAMNS/2025,9145.01,RECORD AND LIBRARY JOURNAL,020.5 Rec,Fakultas Vokasi Universitas Airlangga,26 Oktober 2022,15 Desember 2025
1661,9146/PAMNS/2025,9146.01,CROWN OF THORNS,920.71 Gil  C,Boxtree Limited,26 Oktober 2022,15 Desember 2022
9596,9147/PAMNS/2025,9147.01,VERSUNKENE KONIGRAICHE INDONESIENS,959.8012 Zab V,Philipp von Zabern,26 Oktober 2022,15 Desember 2025
9937,9148/PAMNS/2025,9148.03,WORLD HERITAGE SITES AND LIVING CULTURE OF INDONESIA,910.9 Wor,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,15 Desember 2025
5943,9149/PAMNS/2025,9149.01,National Library of Australia News Volume XIX,020.5 Full N,National Library of Australia and Individual Contributors,26 Oktober 2022,15 Desember 2025
5053,9150/PAMNS/2025,9150.04,MEDIA PUSTAKAWAN: Media Komunikasi Antar Pustakawan,020 MED 1,Perpustakaan Nasional Republik Indonesia ,26 Oktober 2022,15 Desember 2025
2788,9151/PAMNS/2025,9151.01,Hemisphere: An Asian-Australian Magazine Volume 26,420.5 Hem,Australian Government Publishing Service,26 Oktober 2022,15 Desember 2025
9197,9152/PAMNS/2025,9152.01,"The Life Millennium: The 100 Most Important Events & People of The Past 1,000 Years",903 Ada T,LIFE BOOKS,26 Oktober 2022,15 Desember 2025
4795,9153/PAMNS/2025,9153.01,Macroeconomics,339 Bla M,"Prentice Hall International, Inc",22-Sep-22,15 Desember 2025
9144,9154/PAMNS/2025,9154.01,The Essential Art of Relaxation,613.792 Toy R,Landsdowne Publishing Pty Ltd,26 Oktober 2022,15 Desember 2025
8952,9155/PAMNS/2025,9155.01,Teknik Profesional Menggambar Vektor Grafis dengan CorelDraw X3,006.686 Yud T,Penerbit ANDI,22-Sep-22,15 Desember 2025
7124,9156/PAMNS/2025,9156.01,Pertemuan Jodoh,813 Moe P,Balai Pustaka,26 Oktober 2022,15 Desember 2025
7125,9157/PAMNS/2025,9157.02,Pertemuan Jodoh,813 Moe P,Balai Pustaka,26 Oktober 2022,15 Desember 2025
5334,9158/PAMNS/2025,9158.01,Mencintai Allah dengan Matematika,153.2 Zah M,PT Elex Media Komputindo,26 Oktober 2022,15 Desember 2025
5335,9159/PAMNS/2025,9159.02,Mencintai Allah dengan Matematika,153.2 Zah M,PT Elex Media Komputindo,26 Oktober 2022,15 Desember 2025
7866,9160/PAMNS/2025,9160.01,Sebab Perasaan bukan Tuhan,204 Rah S,PT Elex Media Komputindo,26 Oktober 2022,15 Desember 2025
7867,9161/PAMNS/2025,9161.02,Sebab Perasaan bukan Tuhan,204 Rah S,PT Elex Media Komputindo,26 Oktober 2022,15 Desember 2025
2408,9162/PAMNS/2025,9162.01,Fikih Shalat 4 Mazhab: Panduan Lengkap Memahami Sifat Shalat Nabi,297.3822 Alb F,Mueeza,26 Oktober 2022,15 Desember 2025
2409,9163/PAMNS/2025,9163.02,Fikih Shalat 4 Mazhab: Panduan Lengkap Memahami Sifat Shalat Nabi,297.3822 Alb F,Mueeza,26 Oktober 2022,15 Desember 2025
1514,9164/PAMNS/2025,9164.01,"Cerdas Seketika, Berkah Ilmu Laduni",297 Aiz C,Semesta Hikmah Publishing,26 Oktober 2022,15 Desember 2025
28,9165/PAMNS/2025,9165.05,107 CHORD GITAR,781.2 Dea C,Pustaka Cerdas,26 Oktober 2022,16 Desember 2025
7868,9166/PAMNS/2025,9166.01,SEBELUM PEREMPUAN BERCINTA,305.4 Saf S,BUKU MOJOK GROUP,26 Oktober 2022,16 Desember 2025
8818,9167/PAMNS/2025,9167.01,Surat Yusuf dan Surat Maryam : Rahasia Anak Lahir Rupawan ,297.1229 Raf S-1,Mutiara Media,26 Oktober 2022,16 Desember 2025
8819,9168/PAMNS/2025,9168.02,Surat Yusuf dan Surat Maryam : Rahasia Anak Lahir Rupawan ,297.1229 Raf S-1,Mutiara Media,26 Oktober 2022,16 Desember 2025
7223,9169/PAMNS/2025,9169.01,Politik Muka Dua : Peran Parpol Menegakkan Peradaban Politik,320.01 Lao P,PT. Pustaka Alvabet,26 Oktober 2022,16 Desember 2025
7957,9170/PAMNS/2025,9170.01,Sejarah Islam : Politik Modern,298.62/Lub/S,UIN Jakarta Press,26 Oktober 2022,16 Desember 2025
5358,9171/PAMNS/2025,9171.01,MENGANTAR RAJA AMPAT KE PENTAS DUNIA : Biografi Drs. Marcus Wanmato,920.71/Arm/M,Aura Publishing,26 Oktober 2022,16 Desember 2022
9178,9172/PAMNS/2025,9172.01,THE HORIDE : Bagaimana Satu Gerombolan Pengembara Mengubah Sejarah Dunia,917/Fav/T,PT Pustaka Alvabet,26 Oktober 2022,16 Desember 2025
1236,9173/PAMNS/2025,9173.01,BRANDNA IT'S BRAND MAGAZINE VIRGIN,052/Bra,Cipta Media Kreasindo,26 Oktober 2022,16 Desember 2025
4897,9174/PAMNS/2025,9174.01,MANAJEMEN PENDIDIKAN DAN PELATIHAN,370.6,PUSTAKA SETIA,26 Oktober 2022,16 Desember 2025
5901,9175/PAMNS/2025,9175.01,Narasimha: Bergiat Menyingkap Khazanah Budaya ,306.09 Pra B ,Balai Pelestarian Cagar Budaya Daerah Istimewa Yogyakarta,26 Oktober 2022,16 Desember 2025
5754,9176/PAMNS/2025,9176.03,Mitologi Jawa : Pendidikan Moral dan Etika Tradisional,170 Her M,NARASI,26 Oktober 2022,16 Desember 2025
6458,9177/PAMNS/2025,9177.01,Pedoman Praktis Menjadi SALES SUKSES ,658.81 Mas P,QUADRANT,26 Oktober 2022,16 Desember 2025
4184,9178/PAMNS/2025,9178.01,Keunikan Sastra Jepang,895.6 Mor K,PT Kesaint Blanc Publishing,26 Oktober 2022,16 Desember 2025
3301,9179/PAMNS/2025,9179.01,INVENTARISASI KARYA BUDAYA SEPAT DI KABUPATEN SUMBAWA BARAT PROVINSI NUSA TENGGARA BARAT,300.72 Pra I,Kepel Press,28-Nov-22,16 Desember 2025
6873,9181/PAMNS/2025,9181.01,PENGELOLA INVESTASI INDONESIA: Menjadi Pemimpin Lokal Dan Menembus Pasar Global,332.6 Pen 1,PT Elex Media Komputindo,26 Oktober 2022,16 Desember 2025
2437,9182/PAMNS/2025,9182.01,FILSAFAT HUKUM: KONSEPSI & IMPLEMENTASI ,340.1 Abu F,PT RAJAGRAFINDO PERSADA,26 Oktober 2022,16 Desember 2025
2975,9183/PAMNS/2025,9183.01,Hukum Pemerintahan Daerah ,349.598 Sih H,Setara Press,26 Oktober 2022,16 Desember 2025
4899,9184/PAMNS/2025,9184.01,Manajemen Pengembangan Kurikulum PAUD ,372.21 Mas M,Ar-Ruzz Media,26 Oktober 2022,16 Desember 2025
7095,9185/PAMNS/2025,9185.01,Permasyarakatan dan legacy,365 Lao P,,26 Oktober 2022,16 Desember 2025
7237,9186/PAMNS/2025,9186.02,"Potensi Budaya Desaku 2021, Jilid I",306 Pot,Direktorat Jenderal Kebudayaan,26 Oktober 2022,16 Desember 2025
7238,9187/PAMNS/2025,9187.01,"Potensi Budaya Desaku 2021, Jilid II",300.72,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi Direktorat Jenderal Kebudayaan: Direktorat Pengembangan dan Pemanfaatan Kebudayaan",26 Oktober 2022,16 Desember 2025
7239,9188/PAMNS/2025,9188.02,"Potensi Budaya Desaku 2021, Jilid II",300.72,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi Direktorat Jenderal Kebudayaan: Direktorat Pengembangan dan Pemanfaatan Kebudayaan",26 Oktober 2022,16 Desember 2025
1334,9189/PAMNS/2025,9189.01,Buku Para Jagoan Kumpulan Kisah Perempuan Bernyali,300.5,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,16 Desember 2025
1335,9190/PAMNS/2025,9190.02,Buku Para Jagoan Kumpulan Kisah Perempuan Bernyali,300.5,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,16 Desember 2025
1336,9191/PAMNS/2025,9191.03,Buku Para Jagoan Kumpulan Kisah Perempuan Bernyali,300.5,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,16 Desember 2025
7653,9192/PAMNS/2025,9192.01,"Riset, Kerjasama dan Inovasi Teknologi ITS",378.005,its press,21 Oktober 2022,16 Desember 2022
7417,9193/PAMNS/2025,9193.01,queer etc.,813,BUKU MOJOK GROUP,26 Oktober 2022,16 Desember 2025
805,9194/PAMNS/2025,9194.02,Australia : Panduan Pelajar Internasional ,370.116 Ale A,,26 Oktober 2022,16 Desember 2025
806,9195/PAMNS/2025,9195.03,Australia : Panduan Pelajar Internasional ,370.116 Ale A,,26 Oktober 2022,16 Desember 2025
807,9196/PAMNS/2025,9196.04,Australia : Panduan Pelajar Internasional ,370.116 Ale A,,26 Oktober 2022,16 Desember 2025
808,9197/PAMNS/2025,9197.05,Australia : Panduan Pelajar Internasional ,370.116 Ale A,,26 Oktober 2022,16 Desember 2025
7598,9198/PAMNS/2025,9198.01,REST AREA : Pameran Seni Rupa Nusantara ,708 Res,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,17 Desember 2025
3323,9199/PAMNS/2025,9199.01,INVENTARISASI PERLINDUNGAN KARYA BUDAYA TARI BONET ,793.31 Sum I,Kementrian Pendidikan dan Kebudayaan,26 Oktober 2022,17 Desember 2025
3028,9200/PAMNS/2025,9200.01,Hutan-n,634.92 Hut,Badan Pengkajian dan Penerapan Teknologi,26 Oktober 2022,17 Desember 2025
7151,9201/PAMNS/2025,9201.01,Pilates a beginner's guide ,613.7046 Bri P,D&S Books,26 Oktober 2022,17 Desember 2025
1441,9202/PAMNS/2025,9202.01,CANDI INDONESIA SERI JAWA,726.1 Can,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,17 Desember 2025
748,9203/PAMNS/2025,9203.01,Asean Wonders , 300.3 Ase,"Kementrian Kebudayaan, Belia dan Sukan ",06 Februari 2022,17 Desember 2025
7640,9204/PAMNS/2025,9204.02,Risalah Jejak Film Indonesia dari Pra Kemerdekaan hingga Era Milenial,791.4309/Abd/R,Kementerian Pendidikan dan Kebudayaan Pusat Pengembangan Perfilman,26 Oktober 2022,17 Desember 2025
9921,9205/PAMNS/2025,9205.01,Words That Shook The World 100 Tears of Unforgettable Spheeches and Events  , 808.5 Gre W,Penguin Group Inc.,26 Oktober 2022,17 Desember 2025
6112,9206/PAMNS/2025,9206.01,PAMERAN INTERNASIONAL KOMUNITAS LUKIS CAT AIR INDONESIA,708 Pam,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,17 Desember 2025
7666,9207/PAMNS/2025,9207.01,Romansa Silam ,899.221 AKH R-1,Direktorat Pelestarian Cagar Budaya dan Permuseuman,28-Nov-22,18 Desember 2025
7667,9208/PAMNS/2025,9208.02,Romansa Silam ,899.221 AKH R-1,Direktorat Pelestarian Cagar Budaya dan Permuseuman,28-Nov-22,18 Desember 2025
6726,9209/PAMNS/2025,9209.01,"Penelitian Perlakuan Kependidikan (Educational Treatment-Based Research) : Perpaduan Penelitian Desain, Penelitian Tindakan, dan Penelitian Eksperimen dalam Permasalahan Kependidikan",370.72 RUS P,Rajawali Pers,26 Oktober 2022,18 Desember 2025
8111,9210/PAMNS/2025,9210.01,Senandung Ibu Pertiwi,069.5 SEN,Galeri Nasional Indonesia,28-Nov-22,18 Desember 2025
3657,9211/PAMNS/2025,9211.03,KAGUNAN,720.4 Moe K ,Direktorat pembinaan Kesenian dan Perfilman Direktorat Jendral Kebudayaan,28-Nov-22,18 Desember 2025
3658,9212/PAMNS/2025,9212.04,KAGUNAN,720.4 Moe K ,Direktorat pembinaan Kesenian dan Perfilman Direktorat Jendral Kebudayaan,28-Nov-22,18 Desember 2025
6999,9213/PAMNS/2025,9213.01,Peraturan Daerah Berkeadilan Substantif: Konsep Pembentukan dan Pengimplementasian ddalam Sistem Hukum Indonesia,349.598 Bur P,Setara Press,26 Oktober 2022,20 Desember 2022
6724,9214/PAMNS/2025,9214.01,Penelitian Berbasis Output: Paradigma Baru Pengelolaan Penelitian di Indonesia,001.42 Bha P,Indomedia Pustaka,26 Oktober 2022,20 Desember 2022
2062,9215/PAMNS/2025,9215.01,DIGITAL MINDSET: Menyiapkan Generasi Muda Indonesia Menghadapi Disrupsi Teknologi,153.4 Pur D,Andi,26 Oktober 2022,20 Desember 2022
33,9216/PAMNS/2025,9216.03,10 Juta Pertama dari Google Adsense,658.84 Hel J,PT Elex Media Komputindo,26 Oktober 2022,20 Desember 2022
554,9217/PAMNS/2025,9217.01,ANALISIS DATA PENELITIAN: Menggunakan Software STATA,004 Sho A,Andi,26 Oktober 2022,20 Desember 2025
2831,9218/PAMNS/2025,9218.04,"Historitas Kebangsaan dan Demokrasi: Historiografi, Pendidikan Sejarah dan Genre (Kumpulan Makalah Konferensi Nasional Sejarah IX)",959.80223 Tjo H,"Direktorat Sejarah dan Nilai Budaya Direktorat Jenderal Kebudayaan, Kementerian Pendidikan dan Kebudayaan ",28-Nov-22,20 Desember 2025
2832,9219/PAMNS/2025,9219.05,"Historitas Kebangsaan dan Demokrasi: Historiografi, Pendidikan Sejarah dan Genre (Kumpulan Makalah Konferensi Nasional Sejarah IX)",959.80223 Tjo H,"Direktorat Sejarah dan Nilai Budaya Direktorat Jenderal Kebudayaan, Kementerian Pendidikan dan Kebudayaan ",28-Nov-22,20 Desember 2025
8443,9220/PAMNS/2025,9220.01,STANDAR AKUNTANSI KEUANGAN,657 Ika S,IKATAN AKUNTAN INDONESIA,26 Oktober 2022,20 Desember 2025
1373,9221/PAMNS/2025,9221.01,BULETIN : Museum Sumpah Pemuda,905 Umi B,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,20 Desember 2025
1374,9222/PAMNS/2025,9222.02,BULETIN : Museum Sumpah Pemuda,905 Umi B,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,20 Desember 2025
1375,9223/PAMNS/2025,9223.03,BULETIN : Museum Sumpah Pemuda,905 Umi B,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,20 Desember 2025
1376,9224/PAMNS/2025,9224.04,BULETIN : Museum Sumpah Pemuda,905 Umi B,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,20 Desember 2025
1377,9225/PAMNS/2025,9225.05,BULETIN : Museum Sumpah Pemuda,905 Umi B,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,20 Desember 2025
7346,9226/PAMNS/2025,9226.05,Proposisi temen ngopi#2 Pendidikan dan pengembangan diri ,155.25 Sat p,TareBooks (Taretan Sedaya International),26 Oktober 2022,22 Desember 2025
8017,9227/PAMNS/2025,9227.06,"Sejarah Peradaban Maritim ""Peranan Sungai dalam Sejarah Peradaban Maritim di Jambi dan Riau""",909 Pra S,Direktorat Sejarah Direktorat Jenderal Kebudayaan Kementerian Pendidikan dan Kebudayaan ,28-Nov-22,23 Desember 2025
8018,9228/PAMNS/2025,9228.07,"Sejarah Peradaban Maritim ""Peranan Sungai dalam Sejarah Peradaban Maritim di Jambi dan Riau""",909 Pra S,Direktorat Sejarah Direktorat Jenderal Kebudayaan Kementerian Pendidikan dan Kebudayaan ,23-Nov-25,23 Desember 2025
8019,9229/PAMNS/2025,9229.08,"Sejarah Peradaban Maritim ""Peranan Sungai dalam Sejarah Peradaban Maritim di Jambi dan Riau""",909 Pra S,Direktorat Sejarah Direktorat Jenderal Kebudayaan Kementerian Pendidikan dan Kebudayaan ,28-Nov-22,23 Desember 2025
8020,9230/PAMNS/2025,9230.09,"Sejarah Peradaban Maritim ""Peranan Sungai dalam Sejarah Peradaban Maritim di Jambi dan Riau""",909 Pra S,Direktorat Sejarah Direktorat Jenderal Kebudayaan Kementerian Pendidikan dan Kebudayaan ,28-Nov-22,23 Desember 2025
8021,9231/PAMNS/2025,9231.1,"Sejarah Peradaban Maritim ""Peranan Sungai dalam Sejarah Peradaban Maritim di Jambi dan Riau""",909 Pra S,Direktorat Sejarah Direktorat Jenderal Kebudayaan Kementerian Pendidikan dan Kebudayaan ,28-Nov-22,23 Desember 2025
1397,9232/PAMNS/2025,9232.01,BUNG HATTA : Bapak Ekonomi Kerakyatan,959.8022 Mus B,Museum Perumusan Naskah Proklamasi,28-Nov-22,23 Desember 2025
1398,9233/PAMNS/2025,9233.02,BUNG HATTA : Bapak Ekonomi Kerakyatan,959.8022 Mus B,Museum Perumusan Naskah Proklamasi,28-Nov-22,23 Desember 2025
1399,9234/PAMNS/2025,9234.03,BUNG HATTA : Bapak Ekonomi Kerakyatan,959.8022 Mus B,Museum Perumusan Naskah Proklamasi,28-Nov-22,23 Desember 2025
1400,9235/PAMNS/2025,9235.04,BUNG HATTA : Bapak Ekonomi Kerakyatan,959.8022 Mus B,Museum Perumusan Naskah Proklamasi,28-Nov-22,23 Desember 2025
6877,9236/PAMNS/2025,9236.01,Pengembangan Kebijakan Pembangunan Bekelanjutan di Indonesia,338.92 Gin P,Yayasan Pustaka Obor Indonesia,26 Oktober 2022,23 Desember 2025
6505,9237/PAMNS/2025,9237.01,Pelayaran dan Perniagaan Nusantara abad ke-16 & 17,959.802 Lap P,Komunitas Bambu,26 Oktober 2022,23 Desember 2025
7018,9238/PAMNS/2025,9238.01,Perempuan dan Islam di Indoensia,305.4 Lub P,Pustaka Compass,26 Oktober 2022,23 Desember 2025
2938,9239/PAMNS/2025,9239.01,Hukum Kewarisan Islam (edisi revisi),297.273 Har H,Ar-Ruzz Media,26 Oktober 2022,23 Desember 2025
1209,9240/PAMNS/2025,9240.01,Bisnis Perbudakan Seksual (Menelusuri Perdagangan Perempuan dan Anak-anak Internasional),341.18 Cac B,Marjin Kiri,26 Oktober 2022,23 Desember 2025
997,9241/PAMNS/2025,9241.03,Beras Untuk India ,633.1 Ilh B,PT Elex Media Komputindo,26 Oktober 2022,23 Desember 2025
4343,9242/PAMNS/2025,9242.01,Komisaris Independen: Penggerak Governansi Korporat,320 Ali K,PT Gramedia Widiasarana Indonesia,26 Oktober 2022,23 Desember 2025
9938,9243/PAMNS/2025,9243.04,WORLD HERITAGE SITES AND LIVING CULTURE OF INDONESIA,910.9 Wor,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,23 Desember 2025
4789,9244/PAMNS/2025,9244.01,"Lukisan Basoeki Abdullah : Perjuangan, Sosial & Kemanusiaan",759 Bas L,Departemen Pendidikan dan Kebudayaan,28-Nov-22,23 Desember 2025
1401,9245/PAMNS/2025,9245.05,BUNG HATTA : Bapak Ekonomi Kerakyatan,959.8022 Mus B,Museum Perumusan Naskah Proklamasi,28-Nov-22,23 Desember 2025
599,9246/PAMNS/2025,9246.01,Analisis Wacana & Pengajarannya,401.41 Kri A,Pustaka pelajar,26 Oktober 2022,23 Desember 2025
6821,9247/PAMNS/2025,9247.01,Pengantar Perbankan Syari'ah,297.427 War P,PUSTAKA SETIA,26 Oktober 2022,23 Desember 2025
4930,9248/PAMNS/2025,9248.01,Manajemen Strategis - Strategi Bersiang Islami (Mengislamkan Strategi Bersaing Masyarakat dan Memasyarakatkan Strategi Bersaing Islami),650.1 Zai M,Indomedia Pustaka,26 Oktober 2022,23 Desember 2025
304,9249/PAMNS/2025,9249.01,A Brief Cultural History of Indonesian Cinema,777 Bri,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,24 Desember 2025
305,9250/PAMNS/2025,9250.02,A Brief Cultural History of Indonesian Cinema,777 Bri,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,24 Desember 2025
4761,9251/PAMNS/2025,9251.01,Limitasi Hakim - Gagasan Rekonstruksi Kewenangan Pengadilan Niaga,340.092 Soe L,Rayyana Komunikasindo,26 Oktober 2022,24 Desember 2025
953,9252/PAMNS/2025,9252.01,Belajar pemrograman Web pada XML,006.7 Utd B,ANDI Yogyakarta,21-Sep-22,24 Desember 2025
9222,9253/PAMNS/2025,9253.01,The National Library Magazine,020.5 The,National Library of Australia,26 Oktober 2022,24 Desember 2025
8049,9254/PAMNS/2025,9254.01,Sejarah wilayah Perbatasan Kepulauan Natuna (Mutiara di Ujung Natuna),912.598143 Mar S,Direktorat Sejarah Direktorat Jenderal Kebudayaan Kementerian Pendidikan dan Kebudayaan ,28-Nov-22,24 Desember 2025
8145,9255/PAMNS/2025,9255.02,Serambi Seni: Pameran Karya Pilihan Koleksi Galeri Nasional Indonesia & Karya Perupa Aceh,750 Neg P,Kementrian Pendidikan dan Kebudayaan,28-Nov-22,30 Desember 2025
2812,9256/PAMNS/2025,9256.01,Highlight of Breakthroughs: The Ministry of Education and Culture 2015,351.05 Hus H,Kementrian Pendidikan dan Kebudayaan,26 Oktober 2022,30 Desember 2025
9616,9257/PAMNS/2025,9257.01,Viva Asia Travel & Food,820.5 Viv,,26 Oktober 2022,30 Desember 2025
1381,9258/PAMNS/2025,9258.01,Buletin Permukiman Edisi 30 Maret 2021,351.05 Bul,Pemerintah Provinsi Jawa Timur,26 Oktober 2022,30 Desember 2025
9601,9259/PAMNS/2025,9259.01,"VIP Magazine: Dra. Hj. Sri Sularsih, M.Si.",499.22105 Vip,PT. Visi Inspirasi Persona,26 Oktober 2022,30 Desember 2025
2803,9260/PAMNS/2025,9260.01,Hidayatullah: Jaringan Masyarakat Bertauhid Edisi XXIII ,297.05 Hid,,26 Oktober 2022,30 Desember 2025
6931,9261/PAMNS/2025,9261.05,Penulisan Sejarah: PEMIKIR KEBUDAYAAN,300.9 Tan p,Direktorat Jenderal Sejarah & Purbakala,26 Oktober 2022,30 Desember 2025
6932,9262/PAMNS/2025,9262.06,Penulisan Sejarah: PEMIKIR KEBUDAYAAN,300.9 Tan p,Direktorat Jenderal Sejarah & Purbakala,26 Oktober 2022,30 Desember 2025
6933,9263/PAMNS/2025,9263.07,Penulisan Sejarah: PEMIKIR KEBUDAYAAN,300.9 Tan p,Direktorat Jenderal Sejarah & Purbakala,26 Oktober 2022,30 Desember 2025
3091,9264/PAMNS/2025,9264.01,Ilmu Pendidikan Islam: Tinjauan Teoritis dan Praktis Berdasarkan Pendekatan Interdisipliner,371.077 Ari I,Bumi Aksara,26 Oktober 2022,30 Desember 2025
2960,9265/PAMNS/2025,9265.01,Hukum Media Pers,343.099 Riy H,Indomedia Pustaka,26 Oktober 2022,30 Desember 2025
7017,9266/PAMNS/2025,9266.01,Perempuan Bicara dari Dakwah Hingga Sosial-Politik,2X7.1 Lub P,Pustaka Compass,26 Oktober 2022,30 Desember 2025
6100,9267/PAMNS/2025,9267.01,Pajak Internasional Tinjauan Praktis,343.04 Wis P,  Mitra Wacana Media,26 Oktober 2022,30 Desember 2025
1235,9268/PAMNS/2025,9268.01,Brandna It's a Brand Magazine Vo 3 No. 1,052 Bra,Cipta Media Kreasindo,26 Oktober 2022,30 Desember 2025
6040,9269/PAMNS/2025,9269.01,On Signs: Manusia & Tanda,401.41 Eco O,IRCiSoD,26 Oktober 2022,30 Desember 2025
5280,9270/PAMNS/2025,9270.01,Membicarakan Feminisme,155.333 Mel M,EA Books,26 Oktober 2022,30 Desember 2025
5270,9271/PAMNS/2025,9271.01,Membangun Peradaban Dengan Ilmu,909 Zar M,Kalam Indonesia,26 Oktober 2022,30 Desember 2025
7122,9272/PAMNS/2025,9272.01,Pertempuran Laut Jawa (Gurita jepang Mencengkeram Nusantara),959.802 Agu P,Mata padi pressindo,26 Oktober 2022,30 Desember 2025
5952,9273/PAMNS/2025,9273.01,Negeri Pesantren: Membangun Pesantren Menuju Agama yang Madani,2X7.39598 Neg,Badan Perencanaan Pembangunan Daerah (BAPPEDA) Kab. Agam,26 Oktober 2022,30 Desember 2025
2149,9274/PAMNS/2025,9274.01,Doktrin-Doktrin Pidana Korporasi,346.06 Yus D,Arruz Media,26 Oktober 2022,30 Desember 2025
1591,9275/PAMNS/2025,9275.01,Civilization & Its Discontents (Peradaban dan Kekecewaan-Kekecewaan),155.2 Fre C,Immortal Publishing & Octopus,26 Oktober 2022,30 Desember 2025
9394,9276/PAMNS/2026,9276.01,TOKOH PEMIKIR KARAKTER BANGSA,920.0598 Yul T-1,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
9395,9277/PAMNS/2026,9277.02,TOKOH PEMIKIR KARAKTER BANGSA,920.0598 Yul T-1,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
9396,9278/PAMNS/2026,9278.03,TOKOH PEMIKIR KARAKTER BANGSA,920.0598 Yul T-1,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
9397,9279/PAMNS/2026,9279.04,TOKOH PEMIKIR KARAKTER BANGSA,920.0598 Yul T-1,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
2649,9280/PAMNS/2026,9280.01,"GRAFIS SEJARAH ISLAM INDONESIA: Islam, Tradisi, Khazanah Budaya",297.267 Isl,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
2647,9281/PAMNS/2026,9281.01,"GRAFIS SEJARAH ISLAM INDONESIA: Islam, Perdagangan, Pasar Global",297.267 Isl,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
2651,9282/PAMNS/2026,9282.01,"GRAFIS SEJARAH ISLAM INDONESIA: Kiaiku, Guruku, Jaringan Ulama",297.267 Kia,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
2653,9283/PAMNS/2026,9283.01,"GRAFIS SEJARAH ISLAM INDONESIA: Surauku, Santri, Pesantrenku",297.267 Sur,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
2645,9284/PAMNS/2026,9284.01,"GRAFIS SEJARAH ISLAM INDONESIA: Islam, Dialog Toleransi, Kebangsaan",297.267 Isl,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
2650,9285/PAMNS/2026,9285.02,"GRAFIS SEJARAH ISLAM INDONESIA: Islam, Tradisi, Khazanah Budaya",297.267 Isl,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
2648,9286/PAMNS/2026,9286.02,"GRAFIS SEJARAH ISLAM INDONESIA: Islam, Perdagangan, Pasar Global",297.267 Isl,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
2652,9287/PAMNS/2026,9287.02,"GRAFIS SEJARAH ISLAM INDONESIA: Kiaiku, Guruku, Jaringan Ulama",297.267 Kia,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
2654,9288/PAMNS/2026,9288.02,"GRAFIS SEJARAH ISLAM INDONESIA: Surauku, Santri, Pesantrenku",297.267 Sur,Direktorat Jenderal Kebudayaan,28-Nov-22,02 Januari 2026
